edgeid,source,target,date,value,type
224,199,816.0,2020/8/11,1.0,Directed
225,282,816.0,2020/8/11,1.0,Directed
226,330,816.0,2020/8/11,1.0,Directed
227,338,816.0,2020/8/11,1.0,Directed
228,816,372.0,2020/8/11,1.0,Directed
229,816,404.0,2020/8/11,1.0,Directed
230,420,816.0,2020/8/11,1.0,Directed
231,453,816.0,2020/8/11,1.0,Directed
232,461,816.0,2020/8/11,1.0,Directed
233,652,816.0,2020/8/11,1.0,Directed
234,656,816.0,2020/8/11,1.0,Directed
235,657,816.0,2020/8/11,1.0,Directed
236,673,816.0,2020/8/11,1.0,Directed
237,101,694.0,2020/8/15,1.0,Directed
238,118,694.0,2020/8/15,1.0,Directed
239,289,694.0,2020/8/15,1.0,Directed
240,436,694.0,2020/8/15,1.0,Directed
241,461,694.0,2020/8/15,1.0,Directed
242,1129,694.0,2020/8/15,1.0,Directed
243,590,694.0,2020/8/15,1.0,Directed
244,329,269.0,2020/8/17,1.0,Directed
245,101,695.0,2020/8/22,1.0,Directed
246,118,695.0,2020/8/22,1.0,Directed
247,282,695.0,2020/8/22,1.0,Directed
248,289,695.0,2020/8/22,1.0,Directed
249,436,695.0,2020/8/22,1.0,Directed
250,461,695.0,2020/8/22,1.0,Directed
251,1129,695.0,2020/8/22,1.0,Directed
252,590,695.0,2020/8/22,1.0,Directed
253,101,696.0,2020/8/25,1.0,Directed
254,134,818.0,2020/8/25,1.0,Directed
255,135,818.0,2020/8/25,1.0,Directed
256,135,134.0,2020/8/25,1.0,Directed
257,136,696.0,2020/8/25,1.0,Directed
258,248,818.0,2020/8/25,1.0,Directed
259,282,696.0,2020/8/25,1.0,Directed
260,282,818.0,2020/8/25,1.0,Directed
261,461,696.0,2020/8/25,1.0,Directed
262,461,818.0,2020/8/25,1.0,Directed
263,1131,696.0,2020/8/25,1.0,Directed
264,1131,818.0,2020/8/25,1.0,Directed
265,323,522.0,2020/8/27,1.0,Directed
266,269,697.0,2020/8/30,1.0,Directed
267,329,697.0,2020/8/30,1.0,Directed
268,461,697.0,2020/8/30,1.0,Directed
269,1128,697.0,2020/8/30,1.0,Directed
270,701,637.0,2020/9/1,1.0,Directed
271,702,226.0,2020/9/1,1.0,Directed
272,376,703.0,2020/9/1,1.0,Directed
273,376,811.0,2020/9/1,1.0,Directed
